▶메타정보,,,
공공정보명,실시간 도시데이터,서비스명,서울시 실시간 도시데이터
서비스설명,"서울시 실시간 도시데이터 서울 실시간 도시데이터 바로가기 > 서울시 실시간 도시데이터는 실시간 인구현황, 도로소통현황, 주차장 현황, 지하철 실시간 도착 현황, 버스정류소 현황, 사고통제현황, 따릉이 현황, 날씨 현황, 전기차충전소 현황, 문화행사 현황 정보를 제공합니다. ※ 서울시 주요 113장소에 대하여 인구, 교통, 환경, 문화행사 등 각 분야의 공공·민간 실시간 데이터를 융합한 데이터입니다. ※ 서울 주요 113장소 목록은 아래 '서울시 주요 113장소 목록.xlsx' 파일에서 확인 가능합니다. ※ 샘플key를 통해서는 주요 113장소 중 '광화문·덕수궁' 지역만 조회 가능합니다. 나머지 지역을 조회하기 위해서는 인증키를 발급받아 주시기 바랍니다. ※ 서울시 실시간 도시데이터 API는 한 번에 1개 장소씩만 호출 가능합니다. ※ 장소명 OR 장소코드 중 택1 하여 호출이 가능합니다. ※ 인구예측 데이터는 기존 44장소에 한해 제공됩니다 (나머지 69장소는 추후 추가 예정)",,
분류체계,문화관광>관광,원본시스템,서울시 실시간 도시데이터
태그,"실시간, 실시간 인구, 도로소통, 대중교통, 날씨, 환경, 전기차충전소, 문화행사",저작권자명,서울특별시
제공기관,서울특별시,저작권자연락처,02-2133-4272
제공부서,디지털정책관 빅데이터담당관,제3저작권자,없음
담당자명,이원재,원본형태,DB
담당자연락처,02-2133-4272,적재주기,실시간
생성기준일,2022.06.21,최종수정일,2023.10.14
데이터 공개일자,2022.08.31,,
이용허락조건,저작자표시(BY),,
,저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,,
,,,
▶요청인자,,,
변수,타입,변수명,값설명
KEY,STRING(필수),인증키,OPENAPI에서 발급된 인증키
TYPE,STRING(필수),요청파일 타입,"xml : xml, xml파일 : xmlf, 엑셀파일 : xls, json파일 : json"
SERVICE,STRING(필수),서비스명,citydata
START_INDEX,INTEGER(필수),요청시작위치,정수 입력
END_INDEX,INTEGER(필수),요청종료위치,정수 입력
AREA_NM,STRING(필수),핫스팟 장소명,장소명 or 장소코드 입력(서울시 주요 113장소 목록.xlsx 파일 참고)
,,,
▶출력값,,,
순번,출력명,출력설명,
1,AREA_NM,핫스팟 장소명,
2,AREA_CD,핫스팟 코드명,
3,LIVE_PPLTN_STTS,실시간 인구현황,
4,AREA_CONGEST_LVL,장소 혼잡도 지표,
5,AREA_CONGEST_MSG,장소 혼잡도 지표 관련 메세지,
6,AREA_PPLTN_MIN,실시간 인구 지표 최소값,
7,AREA_PPLTN_MAX,실시간 인구 지표 최대값,
8,MALE_PPLTN_RATE,남성 인구 비율(남성),
9,FEMALE_PPLTN_RATE,여성 인구 비율(여성),
10,PPLTN_RATE_0,0~10세 인구 비율,
11,PPLTN_RATE_10,10대 실시간 인구 비율,
12,PPLTN_RATE_20,20대 실시간 인구 비율,
13,PPLTN_RATE_30,30대 실시간 인구 비율,
14,PPLTN_RATE_40,40대 실시간 인구 비율,
15,PPLTN_RATE_50,50대 실시간 인구 비율,
16,PPLTN_RATE_60,60대 실시간 인구 비율,
17,PPLTN_RATE_70,70대 실시간 인구 비율,
18,RESNT_PPLTN_RATE,상주 인구 비율,
19,NON_RESNT_PPLTN_RATE,비상주 인구 비율,
20,REPLACE_YN,대체 데이터 여부,
21,PPLTN_TIME,실시간 인구 데이터 업데이트 시간,
22,FCST_YN,예측값 제공 여부,
23,FCST_PPLTN,인구 예측 오브젝트,
24,FCST_TIME,인구 예측시점,
25,FCST_CONGEST_LVL,장소 예측 혼잡도 지표,
26,FCST_PPLTN_MIN,예측 실시간 인구 지표 최소값,
27,FCST_PPLTN_MAX,예측 실시간 인구 지표 최대값,
28,ROAD_TRAFFIC_STTS,도로소통현황,
29,ROAD_TRAFFIC_SPD,전체도로소통평균속도,
30,ROAD_TRAFFIC_IDX,전체도로소통평균현황,
31,ROAD_TRAFFIC_TIME,도로소통현황 업데이트 시간,
32,ROAD_MSG,전체도로소통평균현황 메세지,
33,LINK_ID,도로구간 LINK ID,
34,ROAD_NM,도로명,
35,START_ND_CD,도로노드시작지점 코드,
36,START_ND_NM,도로노드시작명,
37,START_ND_XY,도로노드시작지점좌표,
38,END_ND_CD,도로노드종료지점 코드,
39,END_ND_NM,도로노드종료명,
40,END_ND_XY,도로노드종료지점좌표,
41,DIST,도로구간길이,
42,SPD,도로구간평균속도,
43,IDX,도로구간소통지표,
44,XYLIST,링크아이디 좌표(보간점),
45,PRK_STTS,주차장 현황,
46,PRK_NM,주차장명,
47,PRK_CD,주차장코드,
48,CPCTY,주차장 수용 가능 면수,
49,CUR_PRK_CNT,주차장 주차 가능 면수,
50,CUR_PRK_TIME,현재 주차장 주차 차량 수 업데이트 시간,
51,CUR_PRK_YN,실시간 주차장 주차 현황 제공 여부,
52,PAY_YN,유무료 여부,
